GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"30526",,"07/24/26 00:00:00",,"262286",6,24000,0,144000,144000,0,144000,2201,0,0,0,10020,"7. JULY",28,"30526",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,24000,0,,0,"Z001",,24000
"30526",,"07/24/26 00:00:00",,"262279",5,45000,0,225000,225000,0,225000,2202,0,0,0,10020,"7. JULY",28,"30526",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,45000,1,,0,"Z001",,45000
"30626",,"07/25/26 00:00:00",,"262216",30,290,0,8700,8700,0,8700,2203,0,0,0,10004,"7. JULY",27,"30626",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,290,1,,0,"Z001",,290
"30726",,"07/25/26 00:00:00",,"875",2,1000,0,2000,2000,0,2000,2204,0,0,0,10021,"7. JULY",27,"30726",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,1000,1,,0,"Z001",,1000
"30826",,"07/27/26 00:00:00",,"5817",30,8800,0,264000,264000,0,264000,2205,0,0,0,10003,"7. JULY",25,"30826",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,8800,1,,0,"Z001",,8800
"30926",,"07/23/26 00:00:00",,"262287",28,1311.96,0.12,36734.88,36735,0,36735,2206,0,0,0,351,"7. JULY",29,,1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,1311.96,0,,0,"Z001",,1311.9642
"31026",,"07/28/26 00:00:00",,"241910",2,12000,0,24000,24000,0,24000,2207,0,0,0,10055,"7. JULY",24,,1,,,1,0,102.2,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,12000,102.2,,0,"Z001",,12000
"31026",,"07/28/26 00:00:00",,"262288",2,9000,0,18000,18000,0,18000,2208,0,0,0,10055,"7. JULY",24,,1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,9000,0,,0,"Z001",,9000
"31026",,"07/28/26 00:00:00",,"262089",30,130,0,3900,3900,0,3900,2209,0,0,0,10055,"7. JULY",24,,1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,130,1,,0,"Z001",,130
"31026",,"07/28/26 00:00:00",,"262116",10,350,0,3500,3500,0,3500,2210,0,0,0,10055,"7. JULY",24,,1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,350,1,,0,"Z001",,350
"31126",,"07/27/26 00:00:00",,"262289",1,25000,0,25000,25000,0,25000,2211,0,0,0,10020,"7. JULY",25,"31126",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,25000,0,,0,"Z001",,25000
"31226",,"07/20/26 00:00:00",,"262286",4,24000,0,96000,96000,0,96000,2212,0,0,0,10020,"7. JULY",32,"31226",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,24000,1,,0,"Z001",,24000
