TransRefNo,Item,TDate,QntyIn,QntyOut,GRN,RevGRN,MINTrans,RevMIN,Disposal,Lse,Price,GRNBal,AvgPrice,StCn,Transfer,ActPrice,Company,SortOrder,Official,Profit,BinLoc,Production
"1125","6585","09/27/25 00:00:00",0,4,0,0,1,0,0,0,200,0,125,0,0,200,"01",,0,300,"Z001",0
"1125","6586","09/27/25 00:00:00",0,2,0,0,1,0,0,0,250,0,160,0,0,250,"01",,0,180,"Z001",0
"1125","6335","09/27/25 00:00:00",0,1,0,0,1,0,0,0,350,0,230,0,0,350,"01",,0,120,"Z001",0
"1125","757","09/27/25 00:00:00",0,1,0,0,1,0,0,0,2300,0,1350,0,0,2300,"01",,0,950,"Z001",0
"1125","6030","09/27/25 00:00:00",0,4,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,80,"Z001",0
"1125","5969","09/27/25 00:00:00",0,10,0,0,1,0,0,0,30,0,13,0,0,30,"01",,0,170,"Z001",0
"1125","6098","09/27/25 00:00:00",0,12,0,0,1,0,0,0,50,0,31.69,0,0,50,"01",,0,219.7199999999999,"Z001",0
"1125","5968","09/27/25 00:00:00",0,10,0,0,1,0,0,0,15,0,10,0,0,15,"01",,0,50,"Z001",0
"1125","6602","09/27/25 00:00:00",0,4,0,0,1,0,0,0,100,0,64.06,0,0,100,"01",,0,143.76,"Z001",0
"1125","5832","09/27/25 00:00:00",0,1,0,0,1,0,0,0,300,0,135.7142857142857,0,0,300,"01",,0,164.2857142857143,"Z001",0
"1125","6589","09/27/25 00:00:00",0,1,0,0,1,0,0,0,800,0,0,0,0,800,"01",,0,800,"Z001",0
"1125","5792","09/27/25 00:00:00",0,4,0,0,1,0,0,0,100,0,49.99,0,0,100,"01",,0,200.04,"Z001",0
"1125","6591","09/27/25 00:00:00",0,1,0,0,1,0,0,0,5500,0,3800,0,0,5500,"01",,0,1700,"Z001",0
"1225","6334","09/25/25 00:00:00",0,1,0,0,1,0,0,0,350,0,255,0,0,350,"01",,0,95,"Z001",0
"1225","6332","09/25/25 00:00:00",0,2,0,0,1,0,0,0,300,0,190,0,0,300,"01",,0,220,"Z001",0
"1425","6585","10/13/25 00:00:00",0,2,0,0,1,0,0,0,150,0,125,0,0,150,"01",,0,50,"Z001",0
"1425","6584","10/13/25 00:00:00",0,6,0,0,1,0,0,0,100,0,85,0,0,100,"01",,0,90,"Z001",0
"1425","6587","10/13/25 00:00:00",0,6,0,0,1,0,0,0,200,0,135,0,0,200,"01",,0,390,"Z001",0
"1425","6583","10/13/25 00:00:00",0,1,0,0,1,0,0,0,1295,0,1000,0,0,1295,"01",,0,295,"Z001",0
"1425","6100","10/13/25 00:00:00",0,30,0,0,1,0,0,0,20,0,0,0,0,20,"01",,0,600,"Z001",0
"1525","6554","10/14/25 00:00:00",0,1,0,0,1,0,0,0,19000,0,16250,0,0,19000,"01",,0,2750,"Z001",0
"1525","251948","10/14/25 00:00:00",0,1,0,0,1,0,0,0,26500,0,21000,0,0,26500,"01",,0,5500,"Z001",0
"1525","201789","10/14/25 00:00:00",0,2,0,0,1,0,0,0,100,0,45,0,0,100,"01",,0,110,"Z001",0
"1625","6471","10/16/25 00:00:00",0,5,0,0,1,0,0,0,2850,0,2529.576504713561,0,0,2850,"01",,0,1602.117476432197,"Z001",0
"1625","6474","10/16/25 00:00:00",0,3,0,0,1,0,0,0,4650,0,4255.912813559322,0,0,4650,"01",,0,1182.261559322034,"Z001",0
"1725","6591","10/17/25 00:00:00",0,1,0,0,1,0,0,0,5500,0,3822.212,0,0,5500,"01",,0,1677.788,"Z001",0
"1725","251951","10/17/25 00:00:00",0,1,0,0,1,0,0,0,2000,0,1410.17,0,0,2000,"01",,0,589.8299999999999,"Z001",0
"1725","6338","10/17/25 00:00:00",0,1,0,0,1,0,0,0,150,0,100,0,0,150,"01",,0,50,"Z001",0
"1825","241923","10/20/25 00:00:00",0,2,0,0,1,0,0,0,450,0,280,0,0,450,"01",,0,340,"Z001",0
"1925","6565","10/20/25 00:00:00",0,2,0,0,1,0,0,0,28000,0,18000,0,0,28000,"01",,0,20000,"Z001",0
"1925","251950","10/20/25 00:00:00",0,4,0,0,1,0,0,0,32000,0,27833.33333333333,0,0,32000,"01",,0,16666.66666666667,"Z001",0
"1925","5817","10/20/25 00:00:00",0,4,0,0,1,0,0,0,10000,0,7700,0,0,10000,"01",,0,9200,"Z001",0
"2125","6505","10/27/25 00:00:00",0,1,0,0,1,0,0,0,100,0,73.40708333333333,0,0,100,"01",,0,26.59291666666667,"Z001",0
"3825","252029","11/21/25 00:00:00",0,1,0,0,1,0,0,0,50,0,0,0,0,50,"01",,0,50,"Z001",0
"3825","6338","11/21/25 00:00:00",0,1,0,0,1,0,0,0,150,0,100,0,0,150,"01",,0,50,"Z001",0
"3825","6589","11/21/25 00:00:00",0,1,0,0,1,0,0,0,750,0,570,0,0,750,"01",,0,180,"Z001",0
"3825","962","11/21/25 00:00:00",0,2,0,0,1,0,0,0,600,0,454.36,0,0,600,"01",,0,291.2800000000001,"Z001",0
"3825","6099","11/21/25 00:00:00",0,3,0,0,1,0,0,0,150,0,85,0,0,150,"01",,0,195,"Z001",0
"3825","6587","11/21/25 00:00:00",0,4,0,0,1,0,0,0,200,0,135,0,0,200,"01",,0,260,"Z001",0
"3825","6505","11/21/25 00:00:00",0,1,0,0,1,0,0,0,150,0,73.40708333333333,0,0,150,"01",,0,76.59291666666667,"Z001",0
"3825","6296","11/21/25 00:00:00",0,1,0,0,1,0,0,0,100,0,76,0,0,100,"01",,0,24,"Z001",0
"3925","6511","11/22/25 00:00:00",0,2,0,0,1,0,0,0,3500,0,3200,0,0,3500,"01",,0,600,"Z001",0
"4025","898","11/22/25 00:00:00",0,2,0,0,1,0,0,0,25000,0,25000,0,0,25000,"01",,0,0,"Z001",0
"4025","771","11/22/25 00:00:00",0,3,0,0,1,0,0,0,37000,0,36142.85714285714,0,0,37000,"01",,0,2571.428571428565,"Z001",0
"4025","251947","11/22/25 00:00:00",0,1,0,0,1,0,0,0,299620.40625,0,237862.61,0,0,299620.40625,"01",,0,61757.79625000001,"Z001",0
"3825","5817","11/21/25 00:00:00",0,6,0,0,1,0,0,0,9200,0,7293.90243902439,0,0,9200,"01",,0,11436.58536585366,"Z001",0
"3825","252030","11/21/25 00:00:00",0,0.5,0,0,1,0,0,0,160,0,90,0,0,160,"01",,0,35,"Z001",0
"3925","252011","11/22/25 00:00:00",0,1,0,0,1,0,0,0,600,0,365,0,0,600,"01",,0,235,"Z001",0
"3925","6608","11/22/25 00:00:00",0,1,0,0,1,0,0,0,1200,0,737.1900000000001,0,0,1200,"01",,0,462.8099999999999,"Z001",0
"3925","1716","11/22/25 00:00:00",0,1,0,0,1,0,0,0,2500,0,1864,0,0,2500,"01",,0,636,"Z001",0
"3925","241923","11/22/25 00:00:00",0,8,0,0,1,0,0,0,368.75,0,280,0,0,368.75,"01",,0,710,"Z001",0
"3925","928","11/22/25 00:00:00",0,4,0,0,1,0,0,0,3875,0,2900,0,0,3875,"01",,0,3900,"Z001",0
"3925","836","11/22/25 00:00:00",0,3,0,0,1,0,0,0,350,0,230,0,0,350,"01",,0,360,"Z001",0
"3925","1549","11/22/25 00:00:00",0,2,0,0,1,0,0,0,300,0,133,0,0,300,"01",,0,334,"Z001",0
"3925","6466","11/22/25 00:00:00",0,1,0,0,1,0,0,0,400,0,250,0,0,400,"01",,0,150,"Z001",0
"3925","6098","11/22/25 00:00:00",0,1,0,0,1,0,0,0,50,0,27.55176470588235,0,0,50,"01",,0,22.44823529411765,"Z001",0
"3925","252027","11/22/25 00:00:00",0,1,0,0,1,0,0,0,350,0,300,0,0,350,"01",,0,50,"Z001",0
"3925","6451","11/22/25 00:00:00",0,1,0,0,1,0,0,0,700,0,400,0,0,700,"01",,0,300,"Z001",0
"3925","231903","11/22/25 00:00:00",0,2,0,0,1,0,0,0,350,0,1.09,0,0,350,"01",,0,697.8200000000001,"Z001",0
"3925","6585","11/22/25 00:00:00",0,1,0,0,1,0,0,0,150,0,125,0,0,150,"01",,0,25,"Z001",0
"3925","252000","11/22/25 00:00:00",0,1,0,0,1,0,0,0,150,0,76,0,0,150,"01",,0,74,"Z001",0
"3925","201789","11/22/25 00:00:00",0,2,0,0,1,0,0,0,100,0,45,0,0,100,"01",,0,110,"Z001",0
"3925","6100","11/22/25 00:00:00",0,10,0,0,1,0,0,0,10,0,5,0,0,10,"01",,0,50,"Z001",0
"3925","1400","11/22/25 00:00:00",0,94.33962249755859,0,0,1,0,0,0,0.5299999713897705,0,0.53,0,0,0.5299999713897705,"01",,0,-2.699078252375199e-06,"Z001",0
"3925","771","11/22/25 00:00:00",0,1,0,0,1,0,0,0,45000,0,36142.85714285714,0,0,45000,"01",,0,8857.142857142855,"Z001",0
"3825","251951","11/21/25 00:00:00",0,2,0,0,1,0,0,0,2000,0,1410.17,0,0,2000,"01",,0,1179.66,"Z001",0
"4325","6588","12/03/25 00:00:00",0,1,0,0,1,0,0,0,500,0,0,0,0,500,"01",,0,500,"Z001",0
"4325","5969","12/03/25 00:00:00",0,1,0,0,1,0,0,0,30,0,16.11111111111111,0,0,30,"01",,0,13.88888888888889,"Z001",0
"4425","1400","11/29/25 00:00:00",0,471.6980895996094,0,0,1,0,0,0,0.5299999713897705,0,0.53,0,0,0.5299999713897705,"01",,0,-1.349539060703981e-05,"Z001",0
"4425","1032","11/29/25 00:00:00",0,3,0,0,1,0,0,0,500,0,400,0,0,500,"01",,0,300,"Z001",0
"4425","6334","11/29/25 00:00:00",0,4,0,0,1,0,0,0,350,0,255,0,0,350,"01",,0,380,"Z001",0
"4425","6585","11/29/25 00:00:00",0,2,0,0,1,0,0,0,150,0,125,0,0,150,"01",,0,50,"Z001",0
"4425","6098","11/29/25 00:00:00",0,4,0,0,1,0,0,0,50,0,27.55176470588235,0,0,50,"01",,0,89.79294117647059,"Z001",0
"4425","5969","11/29/25 00:00:00",0,4,0,0,1,0,0,0,30,0,16.11111111111111,0,0,30,"01",,0,55.55555555555556,"Z001",0
"4425","5970","11/29/25 00:00:00",0,10,0,0,1,0,0,0,100,0,75,0,0,100,"01",,0,250,"Z001",0
"4425","5984","11/29/25 00:00:00",0,2,0,0,1,0,0,0,90,0,30,0,0,90,"01",,0,120,"Z001",0
"4425","6363","11/29/25 00:00:00",0,1,0,0,1,0,0,0,200,0,112,0,0,200,"01",,0,88,"Z001",0
"4425","6030","11/29/25 00:00:00",0,2,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,40,"Z001",0
"4425","6602","11/29/25 00:00:00",0,2,0,0,1,0,0,0,100,0,70.21683890577508,0,0,100,"01",,0,59.56632218844985,"Z001",0
"4425","6505","11/29/25 00:00:00",0,2,0,0,1,0,0,0,100,0,73.40708333333333,0,0,100,"01",,0,53.18583333333333,"Z001",0
"4725","6099","12/03/25 00:00:00",0,1,0,0,1,0,0,0,150,0,85,0,0,150,"01",,0,65,"Z001",0
"4525","5970","12/01/25 00:00:00",0,1,0,0,1,0,0,0,100,0,75,0,0,100,"01",,0,25,"Z001",0
"4525","252024","12/01/25 00:00:00",0,1,0,0,1,0,0,0,250,0,170,0,0,250,"01",,0,80,"Z001",0
"4625","6150","12/02/25 00:00:00",0,1,0,0,1,0,0,0,4200,0,3400,0,0,4200,"01",,0,800,"Z001",0
"4625","6505","12/02/25 00:00:00",0,3,0,0,1,0,0,0,100,0,70.16778669724771,0,0,100,"01",,0,89.49663990825688,"Z001",0
"4725","6399","12/03/25 00:00:00",0,1,0,0,1,0,0,0,170,0,110,0,0,170,"01",,0,60,"Z001",0
"4725","6511","12/03/25 00:00:00",0,1,0,0,1,0,0,0,3600,0,3200,0,0,3600,"01",,0,400,"Z001",0
"4825","6099","12/04/25 00:00:00",0,1,0,0,1,0,0,0,150,0,85,0,0,150,"01",,0,65,"Z001",0
"4825","6616","12/04/25 00:00:00",0,3,0,0,1,0,0,0,200,0,132.0967741935484,0,0,200,"01",,0,203.7096774193548,"Z001",0
"4825","6030","12/04/25 00:00:00",0,3,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,60,"Z001",0
"4825","201789","12/04/25 00:00:00",0,3,0,0,1,0,0,0,100,0,45,0,0,100,"01",,0,165,"Z001",0
"4825","251995","12/04/25 00:00:00",0,1,0,0,1,0,0,0,1800,0,1757.5,0,0,1800,"01",,0,42.5,"Z001",0
"4825","6511","12/04/25 00:00:00",0,1,0,0,1,0,0,0,4176,0,3200,0,0,4176,"01",,0,976,"Z001",0
"4925","211863","12/05/25 00:00:00",0,1,0,0,1,0,0,0,5000,0,4055.36,0,0,5000,"01",,0,944.6399999999999,"Z001",0
"4925","6296","12/05/25 00:00:00",0,2,0,0,1,0,0,0,150,0,76,0,0,150,"01",,0,148,"Z001",0
"4925","251942","12/05/25 00:00:00",0,1,0,0,1,0,0,0,340,0,226.2068965517241,0,0,340,"01",,0,113.7931034482759,"Z001",0
"4925","6587","12/05/25 00:00:00",0,3,0,0,1,0,0,0,200,0,135,0,0,200,"01",,0,195,"Z001",0
"4925","6030","12/05/25 00:00:00",0,1,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,20,"Z001",0
"4925","6399","12/05/25 00:00:00",0,2,0,0,1,0,0,0,170,0,110,0,0,170,"01",,0,120,"Z001",0
"4925","791","12/05/25 00:00:00",0,1,0,0,1,0,0,0,1500,0,625,0,0,1500,"01",,0,875,"Z001",0
"4925","5970","12/05/25 00:00:00",0,1,0,0,1,0,0,0,100,0,75,0,0,100,"01",,0,25,"Z001",0
"4925","1717","12/05/25 00:00:00",0,1,0,0,1,0,0,0,6500,0,4800,0,0,6500,"01",,0,1700,"Z001",0
"4925","6127","12/05/25 00:00:00",0,4,0,0,1,0,0,0,200,0,130,0,0,200,"01",,0,280,"Z001",0
"4925","6584","12/05/25 00:00:00",0,1,0,0,1,0,0,0,100,0,85,0,0,100,"01",,0,15,"Z001",0
"4925","252045","12/05/25 00:00:00",0,4,0,0,1,0,0,0,112.5,0,0,0,0,112.5,"01",,0,450,"Z001",0
"5025","6334","12/06/25 00:00:00",0,1,0,0,1,0,0,0,350,0,255,0,0,350,"01",,0,95,"Z001",0
"5025","5692","12/06/25 00:00:00",0,2,0,0,1,0,0,0,3300,0,2900,0,0,3300,"01",,0,800,"Z001",0
"5025","252034","12/06/25 00:00:00",0,1,0,0,1,0,0,0,300,0,200,0,0,300,"01",,0,100,"Z001",0
"5025","241912","12/06/25 00:00:00",0,1,0,0,1,0,0,0,300,0,66.57356608478803,0,0,300,"01",,0,233.426433915212,"Z001",0
"5125","6505","12/09/25 00:00:00",0,2,0,0,1,0,0,0,100,0,70.16778669724771,0,0,100,"01",,0,59.66442660550459,"Z001",0
"5125","241912","12/09/25 00:00:00",0,1,0,0,1,0,0,0,300,0,66.57356608478803,0,0,300,"01",,0,233.426433915212,"Z001",0
"5125","252047","12/09/25 00:00:00",0,1,0,0,1,0,0,0,300,0,160,0,0,300,"01",,0,140,"Z001",0
"5125","252048","12/09/25 00:00:00",0,1,0,0,1,0,0,0,300,0,180,0,0,300,"01",,0,120,"Z001",0
"5125","962","12/09/25 00:00:00",0,5,0,0,1,0,0,0,750,0,454.36,0,0,750,"01",,0,1478.2,"Z001",0
"5125","251970","12/09/25 00:00:00",0,1,0,0,1,0,0,0,700,0,284,0,0,700,"01",,0,416,"Z001",0
"5125","836","12/09/25 00:00:00",0,6,0,0,1,0,0,0,350,0,230,0,0,350,"01",,0,720,"Z001",0
"5125","6585","12/09/25 00:00:00",0,6,0,0,1,0,0,0,150,0,125,0,0,150,"01",,0,150,"Z001",0
"5125","6586","12/09/25 00:00:00",0,2,0,0,1,0,0,0,200,0,160,0,0,200,"01",,0,80,"Z001",0
"7225","6030","12/29/25 00:00:00",0,1,0,0,1,0,0,0,50,0,80,0,0,50,"01",,0,-30,"Z001",0
"7325","252032","12/30/25 00:00:00",0,1,0,0,1,0,0,0,250,0,159.99,0,0,250,"01",,0,90.00999999999999,"Z001",0
"7325","251981","12/30/25 00:00:00",0,1,0,0,1,0,0,0,150,0,150,0,0,150,"01",,0,0,"Z001",0
"7325","6030","12/30/25 00:00:00",0,1,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,20,"Z001",0
"7325","6099","12/30/25 00:00:00",0,1,0,0,1,0,0,0,150,0,85,0,0,150,"01",,0,65,"Z001",0
"7325","252063","12/30/25 00:00:00",0,1,0,0,1,0,0,0,300,0,180,0,0,300,"01",,0,120,"Z001",0
"7325","252012","12/30/25 00:00:00",0,4,0,0,1,0,0,0,700,0,425,0,0,700,"01",,0,1100,"Z001",0
"7325","962","12/30/25 00:00:00",0,2,0,0,1,0,0,0,800,0,454.36,0,0,800,"01",,0,691.2800000000001,"Z001",0
"7325","6466","12/30/25 00:00:00",0,2,0,0,1,0,0,0,400,0,250,0,0,400,"01",,0,300,"Z001",0
"7325","6602","12/30/25 00:00:00",0,1,0,0,1,0,0,0,100,0,70.21683890577508,0,0,100,"01",,0,29.78316109422492,"Z001",0
"7325","251946","12/30/25 00:00:00",0,1,0,0,1,0,0,0,1200,0,824.5813333333333,0,0,1200,"01",,0,375.4186666666667,"Z001",0
