MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"1825",,"10/20/25 00:00:00","241923",2,450,0,0,0,,,0,0,0,0,0,129,341,0,1,"1825",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,900,1,"1825",,,170,0,,"Z001",,,,,,0,,450
"1925",,"10/20/25 00:00:00","6565",2,28000,0,0,0,,,0,1,0,0,0,131,369,0,1,"1925",,72,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,300000,1,"1925",,,10000,0,,"Z001",,,,,,0,,28000
"1925",,"10/20/25 00:00:00","251950",4,32000,0,0,0,,,0,1,0,0,0,132,369,0,1,"1925",,72,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,300000,1,"1925",,,4166.67,0,,"Z001",,,,,,0,,32000
"1925",,"10/20/25 00:00:00","5817",4,10000,0,0,0,,,0,1,0,0,0,133,369,0,1,"1925",,72,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,300000,1,"1925",,,2300,0,,"Z001",,,,,,0,,10000
"2125",,"10/27/25 00:00:00","6505",1,100,0,0,0,,,0,0,0,0,0,159,341,0,1,"2125",,-1,,,4,"SAID",1,,,0,0,1,"01",0,0,,0,2400,1,"2125",,,26.59,0,,"Z001",,,,,,0,,100
"3825",,"11/21/25 00:00:00","252029",1,50,0,0,0,,,0,0,0,0,0,293,341,0,1,,,-1,,,14,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",50,0,,"Z001",,,,,,0,,50
"3825",,"11/21/25 00:00:00","6338",1,150,0,0,0,,,0,0,0,0,0,294,341,0,1,,,-1,,,15,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",50,0,,"Z001",,,,,,0,,150
"3825",,"11/21/25 00:00:00","6619",0,13000,14,214.28999,0,,,0,0,0,0,0,295,341,0,1,,,-1,,,16,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",0,214.29,,"Z001",,,,,,0,,13000
"3825",,"11/21/25 00:00:00","6589",1,750,0,0,0,,,0,0,0,0,0,296,341,0,1,,,-1,,,17,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",180,0,,"Z001",,,,,,0,,750
"3825",,"11/21/25 00:00:00","962",2,600,0,0,0,,,0,0,0,0,0,297,341,0,1,,,-1,,,18,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",145.64,0,,"Z001",,,,,,0,,600
"3825",,"11/21/25 00:00:00","6099",3,150,0,0,0,,,0,0,0,0,0,298,341,0,1,,,-1,,,19,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",65,0,,"Z001",,,,,,0,,150
"3825",,"11/21/25 00:00:00","6587",4,200,0,0,0,,,0,0,0,0,0,299,341,0,1,,,-1,,,20,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",65,0,,"Z001",,,,,,0,,200
"3825",,"11/21/25 00:00:00","6505",1,150,0,0,0,,,0,0,0,0,0,300,341,0,1,,,-1,,,21,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",76.59,0,,"Z001",,,,,,0,,150
"3825",,"11/21/25 00:00:00","6296",1,100,0,0,0,,,0,0,0,0,0,301,341,0,1,,,-1,,,22,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3825",,"1251 - 1272",24,0,,"Z001",,,,,,0,,100
